MapName,WinCntOfRed,WinCntOfBlue,DrawCnt,FirstMove
./autobattle/genmap4.tbsmap,0,0,1,4:5:5:4:4:4
./autobattle/genmap0.tbsmap,0,0,1,4:1:2:3:1:3
./autobattle/genmap2.tbsmap,1,0,0,6:4:4:2:4:1
./autobattle/genmap3.tbsmap,0,1,0,6:4:3:5:3:6
./autobattle/genmap1.tbsmap,1,0,0,5:2:4:4:3:4
