,Adjacency,Feature,EdgeFeature1,EdgeFeature2,EdgeFeature3,Label
0,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[[9, 3, 3, 0], [9, 3, 3, 0], [10, 0, 7, 0], [8, 2, 6, 0], [6, 4, 6, 0], [8, 2, 6, 0], [7, -4, 6, 0], [10, -2, 6, 0], [7, -3, 3, 0], [8, -2, 6, 0], [7, -3, 3, 0], [8, 0, 7, 0]]","[[0, 5, 2, 2, 3, 2, 5, 5, 3, 2, 6, 1], [5, 0, 3, 3, 4, 7, 2, 4, 2, 5, 1, 6], [2, 3, 0, 2, 3, 4, 3, 5, 1, 2, 4, 3], [2, 3, 2, 0, 1, 4, 3, 3, 3, 4, 4, 3], [3, 4, 3, 1, 0, 3, 4, 2, 4, 5, 5, 2], [2, 7, 4, 4, 3, 0, 7, 5, 5, 2, 8, 1], [5, 2, 3, 3, 4, 7, 0, 2, 4, 5, 1, 6], [5, 4, 5, 3, 2, 5, 2, 0, 6, 7, 3, 4], [3, 2, 1, 3, 4, 5, 4, 6, 0, 3, 3, 4], [2, 5, 2, 4, 5, 2, 5, 7, 3, 0, 6, 3], [6, 1, 4, 4, 5, 8, 1, 3, 3, 6, 0, 7], [1, 6, 3, 3, 2, 1, 6, 4, 4, 3, 7, 0]]","[[0, 5, 2, 4, 5, 2, 13, 6, 2, 1, 5, 0], [5, 0, 3, 3, 4, 7, 10, 5, 1, 4, 0, 5], [2, 3, 0, 2, 3, 4, 2, 4, 0, 1, 3, 2], [20, 12, 11, 0, 10, 23, 11, 11, 2, 12, 12, 12], [21, 13, 12, 1, 0, 24, 12, 1, 3, 13, 13, 2], [12, 35, 23, 23, 33, 0, 34, 34, 15, 2, 35, 0], [25, 10, 11, 11, 5, 28, 0, 4, 22, 26, 10, 47], [29, 14, 15, 11, 1, 32, 4, 0, 26, 30, 14, 43], [2, 1, 0, 2, 9, 5, 6, 8, 0, 4, 5, 41], [1, 14, 1, 15, 32, 2, 27, 31, 13, 0, 37, 62], [7, 0, 5, 5, 4, 10, 1, 3, 14, 9, 0, 36], [0, 34, 2, 2, 1, 0, 35, 33, 37, 40, 36, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0], [0, 0, 0, 0, 0, 0, 7, 7, 7, 6, 7, 0], [0, 0, 0, 0, 0, 0, 1, 3, 7, 3, 7, 6], [0, 0, 0, 0, 0, 0, 3, 4, 5, 3, 4, 0], [0, 0, 0, 0, 0, 0, 1, 3, 7, 3, 7, 6], [5, 5, 0, 5, 4, 5, 0, 0, 0, 0, 0, 0], [9, 9, 7, 5, 2, 5, 0, 0, 0, 0, 0, 0], [4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 8, 6, 4, 1, 4, 0, 0, 0, 0, 0, 0], [4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 9, 0, 7, 6, 7, 0, 0, 0, 0, 0, 0]]",1
4,"[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[[7, 3, 3, 1], [7, 3, 3, 0], [7, 2, 6, 0], [9, 0, 7, 0], [10, 3, 3, 0], [8, 4, 6, 0], [1, -3, 3, 0], [5, -1, 9, 0], [6, -2, 6, 0], [5, 0, 7, 0], [2, -3, 3, 0], [10, -1, 9, 0]]","[[0, 3, 9, 4, 6, 1, 3, 4, 7, 6, 2, 2], [3, 0, 6, 7, 5, 4, 4, 5, 4, 9, 1, 5], [9, 6, 0, 5, 3, 8, 6, 5, 2, 5, 7, 9], [4, 7, 5, 0, 2, 3, 3, 2, 5, 2, 6, 4], [6, 5, 3, 2, 0, 5, 3, 2, 3, 4, 4, 6], [1, 4, 8, 3, 5, 0, 2, 3, 6, 5, 3, 1], [3, 4, 6, 3, 3, 2, 0, 1, 4, 5, 3, 3], [4, 5, 5, 2, 2, 3, 1, 0, 3, 4, 4, 4], [7, 4, 2, 5, 3, 6, 4, 3, 0, 7, 5, 7], [6, 9, 5, 2, 4, 5, 5, 4, 7, 0, 8, 4], [2, 1, 7, 6, 4, 3, 3, 4, 5, 8, 0, 4], [2, 5, 9, 4, 6, 1, 3, 4, 7, 4, 4, 0]]","[[0, 23, 18, 13, 15, 1, 2, 12, 15, 23, 1, 1], [23, 0, 6, 7, 5, 13, 4, 4, 3, 17, 0, 13], [38, 34, 0, 24, 13, 37, 15, 23, 10, 32, 25, 37], [4, 7, 5, 0, 2, 3, 2, 1, 4, 1, 5, 3], [24, 14, 3, 2, 0, 14, 3, 1, 2, 12, 13, 14], [10, 32, 37, 21, 19, 0, 2, 20, 16, 31, 3, 0], [2, 4, 6, 3, 3, 1, 0, 2, 5, 16, 4, 3], [3, 4, 4, 1, 1, 2, 1, 0, 3, 4, 4, 4], [9, 10, 10, 17, 3, 8, 6, 7, 0, 36, 10, 28], [5, 8, 4, 1, 3, 4, 5, 4, 7, 0, 8, 4], [1, 0, 9, 6, 6, 2, 3, 5, 8, 19, 0, 6], [1, 6, 8, 3, 5, 0, 3, 4, 7, 4, 6, 0]]","[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1, 5, 3, 5, 2, 5], [0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 2, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0], [7, 7, 3, 4, 5, 1, 0, 0, 0, 0, 0, 0], [6, 6, 4, 0, 4, 5, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]]",1
5,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[[6, 4, 6, 1], [4, 4, 6, 0], [4, 2, 6, 0], [9, 4, 6, 0], [6, 2, 6, 0], [9, 4, 6, 0], [9, -3, 3, 0], [9, -3, 3, 0], [8, -3, 3, 0], [9, -2, 6, 0], [7, 0, 7, 0], [9, 0, 7, 0]]","[[0, 5, 4, 1, 3, 7, 7, 4, 5, 6, 2, 4], [5, 0, 5, 6, 4, 2, 2, 1, 2, 1, 5, 7], [4, 5, 0, 3, 1, 7, 3, 4, 5, 6, 2, 6], [1, 6, 3, 0, 2, 8, 6, 5, 6, 7, 1, 5], [3, 4, 1, 2, 0, 6, 4, 3, 4, 5, 1, 5], [7, 2, 7, 8, 6, 0, 4, 3, 2, 1, 7, 5], [7, 2, 3, 6, 4, 4, 0, 3, 4, 3, 5, 9], [4, 1, 4, 5, 3, 3, 3, 0, 1, 2, 4, 6], [5, 2, 5, 6, 4, 2, 4, 1, 0, 1, 5, 5], [6, 1, 6, 7, 5, 1, 3, 2, 1, 0, 6, 6], [2, 5, 2, 1, 1, 7, 5, 4, 5, 6, 0, 4], [4, 7, 6, 5, 5, 5, 9, 6, 5, 6, 4, 0]]","[[0, 47, 16, 2, 25, 28, 36, 16, 6, 28, 2, 13], [38, 0, 33, 40, 31, 32, 1, 0, 32, 0, 31, 46], [15, 41, 0, 14, 10, 43, 20, 30, 21, 41, 10, 28], [1, 48, 14, 0, 24, 29, 34, 17, 7, 29, 0, 14], [16, 31, 2, 16, 0, 35, 21, 20, 13, 31, 0, 24], [27, 40, 43, 29, 43, 0, 41, 31, 10, 0, 29, 24], [8, 1, 4, 10, 3, 7, 0, 12, 15, 16, 10, 10], [5, 0, 3, 7, 2, 4, 3, 0, 10, 11, 7, 7], [4, 1, 4, 6, 3, 1, 6, 10, 0, 1, 6, 6], [16, 0, 36, 26, 23, 0, 33, 20, 10, 0, 26, 26], [1, 4, 1, 0, 0, 6, 7, 4, 5, 6, 0, 4], [3, 6, 5, 4, 4, 4, 9, 6, 5, 6, 4, 0]]","[[0, 0, 0, 0, 0, 0, 4, 5, 5, 4, 0, 0], [0, 0, 0, 0, 0, 0, 2, 3, 3, 2, 0, 0], [0, 0, 0, 0, 0, 0, 3, 4, 4, 1, 3, 3], [0, 0, 0, 0, 0, 0, 5, 7, 7, 5, 0, 0], [0, 0, 0, 0, 0, 0, 5, 7, 7, 2, 4, 4], [0, 0, 0, 0, 0, 0, 5, 7, 7, 5, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 4, 1, 4, 1, 0, 0, 0, 0, 0, 0], [6, 4, 4, 6, 6, 6, 0, 0, 0, 0, 0, 0], [6, 4, 4, 7, 6, 7, 0, 0, 0, 0, 0, 0]]",-1
8,"[[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[10, 2, 6, 1], [10, 0, 7, 0], [4, 2, 6, 0], [6, 3, 3, 0], [8, 2, 6, 0], [6, 3, 3, 0], [10, -3, 3, 0], [8, -2, 6, 0], [9, -4, 6, 0], [8, -3, 3, 0], [8, 0, 7, 0], [8, -2, 6, 0]]","[[0, 1, 3, 3, 1, 2, 2, 5, 2, 6, 6, 7], [1, 0, 4, 2, 2, 1, 3, 4, 3, 5, 5, 6], [3, 4, 0, 6, 2, 3, 1, 8, 1, 5, 9, 10], [3, 2, 6, 0, 4, 3, 5, 2, 5, 3, 3, 4], [1, 2, 2, 4, 0, 3, 1, 6, 3, 7, 7, 8], [2, 1, 3, 3, 3, 0, 2, 5, 2, 4, 6, 7], [2, 3, 1, 5, 1, 2, 0, 7, 2, 6, 8, 9], [5, 4, 8, 2, 6, 5, 7, 0, 7, 5, 1, 2], [2, 3, 1, 5, 3, 2, 2, 7, 0, 4, 8, 9], [6, 5, 5, 3, 7, 4, 6, 5, 4, 0, 6, 5], [6, 5, 9, 3, 7, 6, 8, 1, 8, 6, 0, 1], [7, 6, 10, 4, 8, 7, 9, 2, 9, 5, 1, 0]]","[[0, 10, 50, 26, 10, 4, 2, 28, 2, 17, 18, 40], [1, 0, 33, 2, 2, 1, 2, 3, 2, 4, 4, 5], [50, 52, 0, 64, 40, 42, 0, 66, 0, 51, 60, 78], [3, 2, 44, 0, 4, 3, 4, 1, 4, 2, 15, 3], [10, 20, 40, 36, 0, 14, 0, 30, 12, 27, 20, 50], [2, 1, 43, 3, 3, 0, 1, 4, 1, 3, 14, 6], [1, 15, 0, 15, 0, 1, 0, 27, 2, 24, 29, 29], [19, 22, 52, 2, 21, 24, 52, 0, 54, 26, 1, 3], [2, 32, 0, 31, 3, 2, 3, 54, 0, 31, 54, 56], [14, 4, 13, 2, 15, 3, 15, 14, 13, 0, 16, 14], [5, 4, 8, 2, 6, 5, 10, 1, 8, 6, 0, 1], [19, 25, 52, 13, 21, 35, 52, 11, 64, 34, 1, 0]]","[[0, 0, 0, 0, 0, 0, 10, 4, 2, 8, 7, 4], [0, 0, 0, 0, 0, 0, 10, 8, 9, 8, 0, 7], [0, 0, 0, 0, 0, 0, 4, 2, 1, 4, 3, 2], [0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 0, 9, 3, 1, 8, 6, 3], [0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0], [0, 0, 1, 5, 0, 5, 0, 0, 0, 0, 0, 0], [3, 6, 4, 6, 3, 6, 0, 0, 0, 0, 0, 0], [6, 0, 4, 6, 6, 6, 0, 0, 0, 0, 0, 0], [0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0], [6, 0, 4, 6, 6, 6, 0, 0, 0, 0, 0, 0], [3, 6, 4, 6, 3, 6, 0, 0, 0, 0, 0, 0]]",1
12,"[[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[[8, 2, 6, 0], [10, 2, 6, 0], [6, 2, 6, 0], [10, 2, 6, 0], [9, 3, 3, 0], [7, 2, 6, 0], [9, -2, 6, 0], [9, -4, 6, 0], [10, -2, 6, 0], [4, -3, 3, 0], [8, -2, 6, 0], [6, -1, 9, 0]]","[[0, 4, 3, 3, 4, 6, 2, 3, 2, 1, 4, 3], [4, 0, 3, 1, 2, 10, 6, 7, 2, 3, 6, 5], [3, 3, 0, 2, 1, 7, 5, 4, 3, 2, 3, 2], [3, 1, 2, 0, 1, 9, 5, 6, 3, 2, 5, 4], [4, 2, 1, 1, 0, 8, 6, 5, 4, 3, 4, 3], [6, 10, 7, 9, 8, 0, 4, 3, 8, 7, 4, 5], [2, 6, 5, 5, 6, 4, 0, 1, 4, 3, 6, 5], [3, 7, 4, 6, 5, 3, 1, 0, 5, 4, 5, 4], [2, 2, 3, 3, 4, 8, 4, 5, 0, 1, 4, 3], [1, 3, 2, 2, 3, 7, 3, 4, 1, 0, 3, 2], [4, 6, 3, 5, 4, 4, 6, 5, 4, 3, 0, 1], [3, 5, 2, 4, 3, 5, 5, 4, 3, 2, 1, 0]]","[[0, 35, 13, 33, 23, 27, 10, 4, 10, 0, 22, 12], [34, 0, 21, 10, 20, 57, 44, 35, 10, 20, 35, 31], [13, 22, 0, 20, 10, 37, 23, 14, 20, 10, 20, 10], [24, 2, 11, 0, 10, 47, 34, 25, 12, 10, 25, 21], [13, 11, 1, 10, 0, 18, 14, 13, 14, 11, 12, 2], [26, 57, 36, 55, 45, 0, 33, 20, 36, 26, 21, 31], [10, 33, 24, 43, 54, 30, 0, 10, 23, 33, 43, 34], [4, 36, 14, 34, 44, 20, 10, 0, 26, 24, 33, 24], [10, 10, 20, 20, 50, 45, 31, 34, 0, 10, 40, 30], [0, 11, 9, 10, 19, 11, 5, 6, 1, 0, 9, 8], [22, 42, 20, 40, 15, 21, 43, 33, 32, 30, 0, 10], [2, 4, 1, 3, 2, 4, 5, 4, 3, 2, 1, 0]]","[[0, 0, 0, 0, 0, 0, 3, 1, 3, 4, 3, 6], [0, 0, 0, 0, 0, 0, 4, 2, 4, 4, 4, 6], [0, 0, 0, 0, 0, 0, 3, 1, 2, 4, 3, 4], [0, 0, 0, 0, 0, 0, 4, 2, 4, 4, 4, 6], [0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0], [0, 0, 0, 0, 0, 0, 3, 1, 2, 4, 3, 5], [4, 3, 4, 4, 9, 3, 0, 0, 0, 0, 0, 0], [7, 5, 6, 7, 6, 6, 0, 0, 0, 0, 0, 0], [5, 4, 5, 5, 9, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0], [4, 3, 4, 4, 8, 3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",-1
14,"[[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]]","[[9, 3, 3, 1], [8, 2, 6, 0], [8, 2, 6, 0], [9, 0, 7, 0], [7, 4, 6, 0], [9, 4, 6, 0], [10, -1, 9, 0], [10, -2, 6, 0], [8, -3, 3, 0], [9, -4, 6, 0], [6, 0, 7, 0], [6, -4, 6, 0]]","[[0, 2, 4, 6, 1, 5, 3, 1, 3, 2, 4, 3], [2, 0, 6, 8, 1, 7, 5, 3, 3, 4, 6, 5], [4, 6, 0, 2, 5, 1, 3, 3, 3, 2, 4, 1], [6, 8, 2, 0, 7, 1, 3, 5, 5, 4, 4, 3], [1, 1, 5, 7, 0, 6, 4, 2, 2, 3, 5, 4], [5, 7, 1, 1, 6, 0, 2, 4, 4, 3, 3, 2], [3, 5, 3, 3, 4, 2, 0, 4, 2, 5, 1, 2], [1, 3, 3, 5, 2, 4, 4, 0, 4, 1, 5, 2], [3, 3, 3, 5, 2, 4, 2, 4, 0, 5, 3, 2], [2, 4, 2, 4, 3, 3, 5, 1, 5, 0, 6, 3], [4, 6, 4, 4, 5, 3, 1, 5, 3, 6, 0, 3], [3, 5, 1, 3, 4, 2, 2, 2, 2, 3, 3, 0]]","[[0, 2, 13, 15, 10, 14, 2, 0, 2, 3, 25, 2], [20, 0, 35, 38, 10, 36, 24, 20, 20, 25, 47, 24], [15, 27, 0, 3, 25, 1, 2, 3, 7, 1, 12, 0], [6, 8, 2, 0, 7, 1, 2, 4, 6, 3, 3, 2], [10, 2, 25, 28, 0, 26, 14, 10, 10, 15, 37, 14], [25, 37, 10, 2, 35, 0, 1, 13, 17, 11, 11, 1], [2, 6, 2, 4, 3, 1, 0, 4, 2, 5, 1, 2], [0, 20, 3, 15, 14, 9, 8, 0, 8, 10, 18, 12], [2, 6, 2, 11, 1, 3, 2, 4, 0, 5, 3, 2], [5, 30, 1, 13, 15, 10, 9, 10, 9, 0, 19, 13], [3, 7, 3, 3, 4, 2, 1, 5, 3, 6, 0, 3], [4, 32, 0, 15, 14, 1, 3, 12, 4, 13, 13, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1], [0, 0, 0, 0, 0, 0, 6, 3, 7, 1, 6, 1], [0, 0, 0, 0, 0, 0, 6, 3, 7, 1, 6, 1], [0, 0, 0, 0, 0, 0, 0, 7, 8, 9, 0, 6], [0, 0, 0, 0, 0, 0, 0, 5, 4, 4, 0, 4], [0, 0, 0, 0, 0, 0, 0, 6, 6, 5, 0, 5], [0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0], [9, 4, 5, 7, 2, 2, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [7, 6, 7, 0, 5, 5, 0, 0, 0, 0, 0, 0], [7, 4, 5, 0, 7, 7, 0, 0, 0, 0, 0, 0], [5, 4, 5, 0, 4, 4, 0, 0, 0, 0, 0, 0]]",1
15,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","[[6, 2, 6, 1], [7, 3, 3, 1], [1, 3, 3, 0], [7, 3, 3, 0], [6, 2, 6, 0], [5, 0, 7, 0], [9, -1, 9, 0], [7, -3, 3, 0], [9, -3, 3, 0], [7, -3, 3, 0], [8, -2, 6, 0], [8, -3, 3, 0]]","[[0, 5, 3, 2, 5, 3, 5, 7, 1, 2, 4, 4], [5, 0, 2, 5, 6, 2, 4, 6, 4, 3, 1, 3], [3, 2, 0, 3, 4, 2, 4, 6, 2, 1, 1, 3], [2, 5, 3, 0, 3, 3, 3, 5, 3, 2, 4, 2], [5, 6, 4, 3, 0, 6, 2, 2, 6, 3, 5, 3], [3, 2, 2, 3, 6, 0, 6, 8, 2, 3, 1, 5], [5, 4, 4, 3, 2, 6, 0, 2, 6, 3, 5, 1], [7, 6, 6, 5, 2, 8, 2, 0, 8, 5, 7, 3], [1, 4, 2, 3, 6, 2, 6, 8, 0, 3, 3, 5], [2, 3, 1, 2, 3, 3, 3, 5, 3, 0, 2, 2], [4, 1, 1, 4, 5, 1, 5, 7, 3, 2, 0, 4], [4, 3, 3, 2, 3, 5, 1, 3, 5, 2, 4, 0]]","[[0, 33, 30, 4, 17, 30, 16, 18, 0, 10, 30, 14], [24, 0, 3, 24, 37, 14, 16, 16, 13, 3, 0, 3], [21, 3, 0, 21, 34, 11, 16, 16, 10, 0, 0, 3], [2, 24, 21, 0, 13, 21, 11, 15, 2, 1, 21, 1], [26, 47, 44, 14, 0, 44, 1, 1, 26, 20, 44, 20], [3, 4, 2, 3, 6, 0, 5, 7, 1, 2, 0, 4], [4, 3, 3, 2, 1, 5, 0, 2, 6, 3, 36, 1], [17, 7, 7, 5, 2, 27, 11, 0, 28, 7, 58, 4], [0, 25, 10, 20, 30, 1, 34, 28, 0, 22, 32, 24], [10, 3, 0, 1, 8, 20, 12, 6, 21, 0, 53, 2], [41, 0, 0, 61, 74, 0, 73, 73, 41, 62, 0, 71], [13, 3, 3, 1, 6, 23, 10, 4, 24, 3, 54, 0]]","[[0, 0, 0, 0, 0, 0, 4, 6, 7, 5, 2, 6], [0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 0, 4], [0, 0, 0, 0, 0, 0, 4, 6, 7, 5, 2, 6], [0, 0, 0, 0, 0, 0, 0, 6, 6, 5, 3, 5], [0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0], [0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0], [4, 7, 1, 7, 3, 5, 0, 0, 0, 0, 0, 0], [0, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0]]",1
