WinTeam,Resing,EndTurn,AttackCntBlue_0_5,AttackCntRed_0_5,attackCntBlue_6_11,attackCntRed_6_11,AllUnitHP_Blue,AllUnitHP_Red,F_UnitHP_Blue,A_UnitHP_Blue,P_UnitHP_Blue,U_UnitHP_Blue,R_UnitHP_Blue,I_UnitHP_Blue,F_UnitHP_Red,A_UnitHP_Red,P_UnitHP_Red,U_UnitHP_Red,R_UnitHP_Red,I_UnitHP_Red
0,False,5,4,9,0,0,0,42,0,0,0,0,0,0,18,0,24,0,0,0
1,False,5,9,4,0,0,42,0,18,0,24,0,0,0,0,0,0,0,0,0
0,False,5,3,10,0,0,0,40,0,0,0,0,0,0,18,10,4,8,0,0
1,False,5,10,3,0,0,40,0,18,10,4,8,0,0,0,0,0,0,0,0
0,False,15,6,10,3,5,0,15,0,0,0,0,0,0,14,1,0,0,0,0
1,False,15,10,6,5,3,15,0,14,1,0,0,0,0,0,0,0,0,0,0
1,False,18,5,4,4,0,36,0,0,0,18,10,8,0,0,0,0,0,0,0
0,False,18,4,5,0,4,0,36,0,0,0,0,0,0,0,0,18,10,8,0
-1,False,29,11,10,1,1,13,7,0,0,13,0,0,0,7,0,0,0,0,0
-1,False,29,10,11,1,1,7,13,7,0,0,0,0,0,0,0,13,0,0,0
0,False,15,6,9,5,1,0,26,0,0,0,0,0,0,16,0,10,0,0,0
1,False,15,9,6,1,5,26,0,16,0,10,0,0,0,0,0,0,0,0,0
0,False,29,3,11,0,0,8,38,8,0,0,0,0,0,0,0,28,3,0,7
1,False,29,11,3,0,0,38,8,0,0,28,3,0,7,8,0,0,0,0,0
0,False,13,12,13,1,3,0,14,0,0,0,0,0,0,2,0,0,12,0,0
1,False,13,13,12,3,1,14,0,2,0,0,12,0,0,0,0,0,0,0,0
-1,False,29,10,10,2,2,9,8,9,0,0,0,0,0,0,0,8,0,0,0
-1,False,29,10,10,2,2,8,9,0,0,8,0,0,0,9,0,0,0,0,0
0,False,29,6,9,0,0,6,27,6,0,0,0,0,0,0,0,5,8,0,14
1,False,29,8,7,1,0,25,6,0,0,5,10,0,10,6,0,0,0,0,0
